"","id","condition","model","parsname","pars","LL","BIC","AIC","age_group"
"154",52,"Decreasing","RFTDDM","a",2.23021632130903,7494.20813684683,15004.8204541171,15004.8204541171,"Old"
"155",52,"Decreasing","RFTDDM","t0",2.45134929482305,7494.20813684683,15004.8204541171,15004.8204541171,"Old"
"156",52,"Decreasing","RFTDDM","nk",48,7494.20813684683,15004.8204541171,15004.8204541171,"Old"
"157",54,"Decreasing","RFTDDM","a",2.40704256637701,9005.21101078069,18026.6836265592,18026.6836265592,"Old"
"158",54,"Decreasing","RFTDDM","t0",1.73035498747394,9005.21101078069,18026.6836265592,18026.6836265592,"Old"
"159",54,"Decreasing","RFTDDM","nk",41,9005.21101078069,18026.6836265592,18026.6836265592,"Old"
"160",55,"Decreasing","RFTDDM","a",6.70197330693039,12573.1374051384,25160.9458576615,25160.9458576615,"Old"
"161",55,"Decreasing","RFTDDM","t0",3.27643840367877,12573.1374051384,25160.9458576615,25160.9458576615,"Old"
"162",55,"Decreasing","RFTDDM","nk",15,12573.1374051384,25160.9458576615,25160.9458576615,"Old"
"163",56,"Stable","RFTDDM","a",2.13292082313092,6196.81040700683,12410.0627307837,12410.0627307837,"Old"
"164",56,"Stable","RFTDDM","t0",2.7519456674945,6196.81040700683,12410.0627307837,12410.0627307837,"Old"
"165",56,"Stable","RFTDDM","nk",33,6196.81040700683,12410.0627307837,12410.0627307837,"Old"
"166",57,"Decreasing","RFTDDM","a",2.30653983262526,18840.8411772779,37698.0991665768,37698.0991665768,"Old"
"167",57,"Decreasing","RFTDDM","t0",4.14654431258009,18840.8411772779,37698.0991665768,37698.0991665768,"Old"
"168",57,"Decreasing","RFTDDM","nk",36,18840.8411772779,37698.0991665768,37698.0991665768,"Old"
"169",58,"Stable","RFTDDM","a",2.24988199209302,156049.165830719,312114.697624785,312114.697624785,"Old"
"170",58,"Stable","RFTDDM","t0",4.12548613134613,156049.165830719,312114.697624785,312114.697624785,"Old"
"171",58,"Stable","RFTDDM","nk",66,156049.165830719,312114.697624785,312114.697624785,"Old"
"172",59,"Decreasing","RFTDDM","a",1.99976840920522,6171.09624123878,12358.6218731333,12358.6218731333,"Old"
"173",59,"Decreasing","RFTDDM","t0",1.6084149104871,6171.09624123878,12358.6218731333,12358.6218731333,"Old"
"174",59,"Decreasing","RFTDDM","nk",57,6171.09624123878,12358.6218731333,12358.6218731333,"Old"
"175",60,"Stable","RFTDDM","a",4.77677889100707,97490.2549951437,194996.939380943,194996.939380943,"Old"
"176",60,"Stable","RFTDDM","t0",4.38476712569417,97490.2549951437,194996.939380943,194996.939380943,"Old"
"177",60,"Stable","RFTDDM","nk",43,97490.2549951437,194996.939380943,194996.939380943,"Old"
"178",61,"Stable","RFTDDM","a",2.17098407435747,6619.27996563409,13254.9514266833,13254.9514266833,"Old"
"179",61,"Stable","RFTDDM","t0",2.31769679230227,6619.27996563409,13254.9514266833,13254.9514266833,"Old"
"180",61,"Stable","RFTDDM","nk",60,6619.27996563409,13254.9514266833,13254.9514266833,"Old"
"181",62,"Stable","RFTDDM","a",4.74755736855015,47065.4551761602,94147.2891088627,94147.2891088627,"Old"
"182",62,"Stable","RFTDDM","t0",3.81565316557992,47065.4551761602,94147.2891088627,94147.2891088627,"Old"
"183",62,"Stable","RFTDDM","nk",65,47065.4551761602,94147.2891088627,94147.2891088627,"Old"
"184",63,"Stable","RFTDDM","a",2.52540452204242,38441.7412875937,76899.6084104105,76899.6084104105,"Old"
"185",63,"Stable","RFTDDM","t0",3.85777493457837,38441.7412875937,76899.6084104105,76899.6084104105,"Old"
"186",63,"Stable","RFTDDM","nk",52,38441.7412875937,76899.6084104105,76899.6084104105,"Old"
"187",64,"Stable","RFTDDM","a",5.3730209010047,12523.469971946,25063.305907238,25063.305907238,"Old"
"188",64,"Stable","RFTDDM","t0",1,12523.469971946,25063.305907238,25063.305907238,"Old"
"189",64,"Stable","RFTDDM","nk",72,12523.469971946,25063.305907238,25063.305907238,"Old"
"190",65,"Stable","RFTDDM","a",2.3927440401907,38435.0244834212,76886.4657788635,76886.4657788635,"Old"
"191",65,"Stable","RFTDDM","t0",3.01271784763654,38435.0244834212,76886.4657788635,76886.4657788635,"Old"
"192",65,"Stable","RFTDDM","nk",57,38435.0244834212,76886.4657788635,76886.4657788635,"Old"
"193",66,"Stable","RFTDDM","a",2.48474807610034,8086.86509991041,16190.1595904766,16190.1595904766,"Old"
"194",66,"Stable","RFTDDM","t0",2.40001060344603,8086.86509991041,16190.1595904766,16190.1595904766,"Old"
"195",66,"Stable","RFTDDM","nk",66,8086.86509991041,16190.1595904766,16190.1595904766,"Old"
"196",70,"Decreasing","RFTDDM","a",2.14928944479567,27444.4859140949,54905.4137449598,54905.4137449598,"Old"
"197",70,"Decreasing","RFTDDM","t0",2.25699124287697,27444.4859140949,54905.4137449598,54905.4137449598,"Old"
"198",70,"Decreasing","RFTDDM","nk",50,27444.4859140949,54905.4137449598,54905.4137449598,"Old"
"199",101,"Decreasing","RFTDDM","a",1.82082298532461,45152.7169246022,90321.8757659744,90321.8757659744,"Young"
"200",101,"Decreasing","RFTDDM","t0",1.08125125002352,45152.7169246022,90321.8757659744,90321.8757659744,"Young"
"201",101,"Decreasing","RFTDDM","nk",40,45152.7169246022,90321.8757659744,90321.8757659744,"Young"
"202",102,"Decreasing","RFTDDM","a",2.52390569323369,39908.45431213,79833.1702292578,79833.1702292578,"Young"
"203",102,"Decreasing","RFTDDM","t0",3.19851504603947,39908.45431213,79833.1702292578,79833.1702292578,"Young"
"204",102,"Decreasing","RFTDDM","nk",43,39908.45431213,79833.1702292578,79833.1702292578,"Young"
"205",103,"Stable","RFTDDM","a",2.47425283863668,19562.4259251677,39141.2686623565,39141.2686623565,"Young"
"206",103,"Stable","RFTDDM","t0",2.17134890795308,19562.4259251677,39141.2686623565,39141.2686623565,"Young"
"207",103,"Stable","RFTDDM","nk",60,19562.4259251677,39141.2686623565,39141.2686623565,"Young"
"208",104,"Stable","RFTDDM","a",5.65618853403779,29348.9136601864,58714.2441323939,58714.2441323939,"Young"
"209",104,"Stable","RFTDDM","t0",2.90765662334102,29348.9136601864,58714.2441323939,58714.2441323939,"Young"
"210",104,"Stable","RFTDDM","nk",29,29348.9136601864,58714.2441323939,58714.2441323939,"Young"
"211",105,"Stable","RFTDDM","a",2.27135911089009,7602.9141224684,15222.2070014792,15222.2070014792,"Young"
"212",105,"Stable","RFTDDM","t0",2.40325307349613,7602.9141224684,15222.2070014792,15222.2070014792,"Young"
"213",105,"Stable","RFTDDM","nk",84,7602.9141224684,15222.2070014792,15222.2070014792,"Young"
"214",106,"Decreasing","RFTDDM","a",2.06678074348073,365595.615898254,731207.673713278,731207.673713278,"Young"
"215",106,"Decreasing","RFTDDM","t0",3.4908241496832,365595.615898254,731207.673713278,731207.673713278,"Young"
"216",106,"Decreasing","RFTDDM","nk",24,365595.615898254,731207.673713278,731207.673713278,"Young"
"217",107,"Stable","RFTDDM","a",2.49332475803694,9290.96118089818,18598.223527807,18598.223527807,"Young"
"218",107,"Stable","RFTDDM","t0",3.14682081392813,9290.96118089818,18598.223527807,18598.223527807,"Young"
"219",107,"Stable","RFTDDM","nk",69,9290.96118089818,18598.223527807,18598.223527807,"Young"
"220",108,"Decreasing","RFTDDM","a",6.27785606788952,11480.9217410479,22978.2853988659,22978.2853988659,"Young"
"221",108,"Decreasing","RFTDDM","t0",1,11480.9217410479,22978.2853988659,22978.2853988659,"Young"
"222",108,"Decreasing","RFTDDM","nk",18,11480.9217410479,22978.2853988659,22978.2853988659,"Young"
"223",109,"Stable","RFTDDM","a",2.36134621150468,48056.8824694836,96130.1691193906,96130.1691193906,"Young"
"224",109,"Stable","RFTDDM","t0",2.29799998299923,48056.8824694836,96130.1691193906,96130.1691193906,"Young"
"225",109,"Stable","RFTDDM","nk",79,48056.8824694836,96130.1691193906,96130.1691193906,"Young"
"226",110,"Stable","RFTDDM","a",2.31653855613997,7215.1154287443,14446.6727742586,14446.6727742586,"Young"
"227",110,"Stable","RFTDDM","t0",3.00438595589467,7215.1154287443,14446.6727742586,14446.6727742586,"Young"
"228",110,"Stable","RFTDDM","nk",40,7215.1154287443,14446.6727742586,14446.6727742586,"Young"
"229",111,"Decreasing","RFTDDM","a",7.32117573110556,13222.5847859589,26461.5989625735,26461.5989625735,"Young"
"230",111,"Decreasing","RFTDDM","t0",1.19345410350904,13222.5847859589,26461.5989625735,26461.5989625735,"Young"
"231",111,"Decreasing","RFTDDM","nk",11,13222.5847859589,26461.5989625735,26461.5989625735,"Young"
"232",112,"Decreasing","RFTDDM","a",2.41761361940938,9100.25259242211,18216.8063508549,18216.8063508549,"Young"
"233",112,"Decreasing","RFTDDM","t0",1.04099914294684,9100.25259242211,18216.8063508549,18216.8063508549,"Young"
"234",112,"Decreasing","RFTDDM","nk",39,9100.25259242211,18216.8063508549,18216.8063508549,"Young"
"235",113,"Decreasing","RFTDDM","a",2.275707412807,87357.6110390154,174731.663994801,174731.663994801,"Young"
"236",113,"Decreasing","RFTDDM","t0",2.01730255773037,87357.6110390154,174731.663994801,174731.663994801,"Young"
"237",113,"Decreasing","RFTDDM","nk",32,87357.6110390154,174731.663994801,174731.663994801,"Young"
"238",114,"Stable","RFTDDM","a",2.05736673374352,6048.4391050554,12113.3201268808,12113.3201268808,"Young"
"239",114,"Stable","RFTDDM","t0",1.82290800704261,6048.4391050554,12113.3201268808,12113.3201268808,"Young"
"240",114,"Stable","RFTDDM","nk",90,6048.4391050554,12113.3201268808,12113.3201268808,"Young"
"241",115,"Stable","RFTDDM","a",2.00055980107147,5333.50638067922,10683.4546781285,10683.4546781285,"Young"
"242",115,"Stable","RFTDDM","t0",0.971215053637517,5333.50638067922,10683.4546781285,10683.4546781285,"Young"
"243",115,"Stable","RFTDDM","nk",84,5333.50638067922,10683.4546781285,10683.4546781285,"Young"
"244",116,"Stable","RFTDDM","a",0.908927461343755,482171.198221264,964358.838359297,964358.838359297,"Young"
"245",116,"Stable","RFTDDM","t0",0.05,482171.198221264,964358.838359297,964358.838359297,"Young"
"246",116,"Stable","RFTDDM","nk",85,482171.198221264,964358.838359297,964358.838359297,"Young"
