"","id","condition","model","parsname","pars","LL","convergence","BIC"
"249",50,"Decreasing","RTF","sigma_rtf",13.1389087368756,-208.439547140842,0,9.43839431263299
"250",50,"Decreasing","RTF","nk",43,-208.439547140842,0,9.43839431263299
"251",51,"Stable","Ctl","tau",0.434544216812866,-221.466967931567,0,2.56867655656138
"252",51,"Stable","Ctl","sigma_ctl",0.160495633739926,-221.466967931567,0,2.56867655656138
"253",51,"Stable","RTF","tau0",42.2585204590804,-235.099450679779,0,9.12280505321643
"254",51,"Stable","RTF","sigma_rtf",17.4915553728122,-235.099450679779,0,9.12280505321643
"255",51,"Stable","RTF","nk",50,-235.099450679779,0,9.12280505321643
"256",52,"Decreasing","Ctl","tau",0.388116089432035,-261.849126673645,0,2.23368648432833
"257",52,"Decreasing","Ctl","sigma_ctl",0.135497689615558,-261.849126673645,0,2.23368648432833
"258",52,"Decreasing","RTF","tau0",49.0964178733685,-221.763844506577,0,9.26459376509618
"259",52,"Decreasing","RTF","sigma_rtf",13.9794401487609,-221.763844506577,0,9.26459376509618
"260",52,"Decreasing","RTF","nk",50,-221.763844506577,0,9.26459376509618
"261",54,"Decreasing","Ctl","tau",0.374520965257205,-117.595945707471,0,3.8347143361486
"262",54,"Decreasing","Ctl","sigma_ctl",0.0508471041005256,-117.595945707471,0,3.8347143361486
"263",54,"Decreasing","RTF","tau0",49.9617475523885,-158.521539161324,0,10.0231923710662
"264",54,"Decreasing","RTF","sigma_rtf",9.18076589466662,-158.521539161324,0,10.0231923710662
"265",54,"Decreasing","RTF","nk",50,-158.521539161324,0,10.0231923710662
"266",55,"Decreasing","Ctl","tau",0.899397945553817,-487.450594121363,0,0.990845575515786
"267",55,"Decreasing","Ctl","sigma_ctl",1.09770018482402,-487.450594121363,0,0.990845575515786
"268",55,"Decreasing","RTF","tau0",132.181218258804,-476.215347076884,0,7.72209485950311
"269",55,"Decreasing","RTF","sigma_rtf",157.440104676361,-476.215347076884,0,7.72209485950311
"270",55,"Decreasing","RTF","nk",1,-476.215347076884,0,7.72209485950311
"271",56,"Stable","Ctl","tau",0.384551983916439,-138.946263365783,0,3.50104892754985
"272",56,"Stable","Ctl","sigma_ctl",0.10428330617141,-138.946263365783,0,3.50104892754985
"273",56,"Stable","RTF","tau0",38.3757497775631,-153.840489018588,0,9.97044914002289
"274",56,"Stable","RTF","sigma_rtf",11.8221875122417,-153.840489018588,0,9.97044914002289
"275",56,"Stable","RTF","nk",38,-153.840489018588,0,9.97044914002289
"276",57,"Decreasing","Ctl","tau",0.295016959548787,-263.311600950693,0,2.22254720463188
"277",57,"Decreasing","Ctl","sigma_ctl",0.127897762847215,-263.311600950693,0,2.22254720463188
"278",57,"Decreasing","RTF","tau0",37.7042498907209,-257.107006777202,0,8.94275311409695
"279",57,"Decreasing","RTF","sigma_rtf",16.2624928237069,-257.107006777202,0,8.94275311409695
"280",57,"Decreasing","RTF","nk",37,-257.107006777202,0,8.94275311409695
"281",58,"Stable","Ctl","tau",0.412532022800478,-205.499479941207,0,2.71833644886912
"282",58,"Stable","Ctl","sigma_ctl",0.158590856396424,-205.499479941207,0,2.71833644886912
"283",58,"Stable","RTF","tau0",40.9314127306197,-207.701672839058,0,9.39142560531235
"284",58,"Stable","RTF","sigma_rtf",15.8059723935878,-207.701672839058,0,9.39142560531235
"285",58,"Stable","RTF","nk",50,-207.701672839058,0,9.39142560531235
"286",59,"Decreasing","Ctl","tau",0.323858723664173,-157.97592611199,0,3.24433814525942
"287",59,"Decreasing","Ctl","sigma_ctl",0.0690052453953264,-157.97592611199,0,3.24433814525942
"288",59,"Decreasing","RTF","tau0",42.2091721616957,-119.397441618616,0,10.5325666778051
"289",59,"Decreasing","RTF","sigma_rtf",6.9478062255267,-119.397441618616,0,10.5325666778051
"290",59,"Decreasing","RTF","nk",50,-119.397441618616,0,10.5325666778051
"291",60,"Stable","Ctl","tau",0.517286101069307,-388.18562733074,0,1.44625616299191
"292",60,"Stable","Ctl","sigma_ctl",0.313621202028839,-388.18562733074,0,1.44625616299191
"293",60,"Stable","RTF","tau0",51.3580322827505,-389.744715820295,0,8.11998688431001
"294",60,"Stable","RTF","sigma_rtf",32.5995945610749,-389.744715820295,0,8.11998688431001
"295",60,"Stable","RTF","nk",50,-389.744715820295,0,8.11998688431001
"296",61,"Stable","Ctl","tau",0.343366542200124,-131.662928449573,0,3.60873328672039
"297",61,"Stable","Ctl","sigma_ctl",0.10171179148531,-131.662928449573,0,3.60873328672039
"298",61,"Stable","RTF","tau0",33.965439997955,-126.464901504141,0,10.373325967267
"299",61,"Stable","RTF","sigma_rtf",10.0837281263861,-126.464901504141,0,10.373325967267
"300",61,"Stable","RTF","nk",45,-126.464901504141,0,10.373325967267
"301",62,"Stable","Ctl","tau",0.335479955615398,-213.556576216961,0,2.64141987222701
"302",62,"Stable","Ctl","sigma_ctl",0.160113132954654,-213.556576216961,0,2.64141987222701
"303",62,"Stable","RTF","tau0",32.8262250510641,-214.957855868216,0,9.30605923979996
"304",62,"Stable","RTF","sigma_rtf",16.6548282938198,-214.957855868216,0,9.30605923979996
